code,country,province,city,isp_city_en,isp_city_4_ntt,country_code,province,province_code_2_ntt,province_en
tpa,美国,佛罗里达州,坦帕,tampa,,us,,,
den,美国,科罗拉多州,丹佛,denver,,us,,,
nyc,美国,纽约州,纽约,newyork,nycm,us,,ny,
jfk,美国,纽约州,纽约,newyork,nycm,us,,ny,
nyk,美国,纽约州,纽约,newyork,nycm,us,,ny,
buf,美国,纽约州,水牛城,buffalo,,us,,ny,
alb,美国,纽约州,奥尔巴尼,albany,,us,,ny,
ash,美国,弗吉尼亚州,阿什本,ashburn,asbn,us,,va,
phx,美国,亚利桑那州,凤凰城,phoenix,,us,,,
lax,美国,加利福尼亚州,洛杉矶,losangles,lsan,us,,ca,
sjc,美国,加利福尼亚州,圣何塞,sanjose,snjs,us,,ca,
sjo,美国,加利福尼亚州,圣何塞,sanjose,snjs,us,,ca,
sfo,美国,加利福尼亚州,旧金山,sanfrancisco,,us,,,
snu,美国,加利福尼亚州,圣克拉拉,santaclara,,us,,,
sea,美国,华盛顿州,西雅图,seattle,sttl,us,,wa,
elp,美国,得克萨斯州,埃尔帕索,elpaso,,us,,,
pdx,美国,俄勒冈州,波特兰,portland,,us,,,
mci,美国,密苏里州,堪萨斯城,kansas,,us,,,
mia,美国,佛罗里达州,迈阿密,miami,,us,,,
dal,美国,德克萨斯州,达拉斯,dallas,dlls,us,,tx,
dfw,美国,德克萨斯州,达拉斯,dallas,dlls,us,,tx,
lrd,美国,得克萨斯州,拉雷多,laredo,,us,,tx,
sat,美国,得克萨斯州,圣安东尼奥,sanantonio,,us,,tx,
ewr,美国,特拉华州,纽瓦克,newark,nwrk,us,,nj,
chi,美国,伊利诺伊州,芝加哥,chicago,chcg,us,,il,
ord,美国,伊利诺伊州,芝加哥,chicago,chcg,us,,il,
slc,美国,犹他州,盐湖城,saltlake,,us,,ut,
cle,美国,俄亥俄州,克利夫兰,cleveland,,us,,oh,
yvr,加拿大,不列颠哥伦比亚省,温哥华,vancouver,,ca,,,
ywg,加拿大,曼尼托巴省,温尼伯,winnipeg,,ca,,,
yul,加拿大,魁北克省,蒙特利尔,montreal,,ca,,,
yyz,加拿大,安大略省,多伦多,toronto,toro,ca,,on,
